id;hu;en;de;sci;kat;stat;population
421;Trombitás sivatagipinty;Trumpeter Finch;Wüstengimpel;Bucanetes githagineus;A;X;0
422;Karmazsinpirók;Common Rosefinch;Karmingimpel;Carpodacus erythrinus;A;OR;2-3
423;Rózsás pirók;Pallas's Rosefinch;Rosengimpel;Carpodacus roseus;B;X;0
424;Zöldike;European Greenfinch;Grünfink;Chloris chloris;A;FG;374000-388000
425;Sárgacsőrű kenderike;Twite;Berghänfling;Linaria flavirostris;A;G;0
426;Kenderike;Common Linnet;Bluthänfling;Linaria cannabina;A;FG;73000-98000
427;Zsezse;Common Redpoll;Taigabirkenzeisig;Acanthis flammea;A;G;0
428;Barna zsezse;Lesser Redpoll;Alpenbirkenzeisig;Acanthis cabaret;A;X;0
429;Zsezse faj;Redpoll sp.;Birkenzeisig sp.;Acanthis sp.;A;G;0
430;Szürke zsezse;Arctic Redpoll;Polarbirkenzeisig;Acanthis hornemanni;B;X;0
431;Keresztcsőrű;Red Crossbill;Fichtenkreuzschnabel;Loxia curvirostra;A;FG;200-400
432;Szalagos keresztcsőrű;Two-barred Crossbill;Bindenkreuzschnabel;Loxia leucoptera;A;X;0
433;Tengelic;European Goldfinch;Stieglitz;Carduelis carduelis;A;FG;406000-422000
434;Csicsörke;European Serin;Girlitz;Serinus serinus;A;FG;113000-130000
435;Csíz;Eurasian Siskin;Erlenzeisig;Spinus spinus;A;FG;100-150
436;Sarkantyús sármány;Lapland Longspur;Spornammer;Calcarius lapponicus;A;G;0
437;Hósármány;Snow Bunting;Schneeammer;Plectrophenax nivalis;A;G;0
438;Sordély;Corn Bunting;Grauammer;Emberiza calandra;A;FG;40000-55000
439;Citromsármány;Yellowhammer;Goldammer;Emberiza citrinella;A;FG;493000-508000
440;Fenyősármány;Pine Bunting;Fichtenammer;Emberiza leucocephalos;A;X;0
441;Bajszos sármány;Rock Bunting;Zippammer;Emberiza cia;A;FG;500-750
442;Kerti sármány;Ortolan Bunting;Ortolan;Emberiza hortulana;A;OR;0-1
443;Sövénysármány;Cirl Bunting;Zaunammer;Emberiza cirlus;A;OR;0
444;Törpesármány;Little Bunting;Zwergammer;Emberiza pusilla;A;X;0
445;Erdei sármány;Rustic Bunting;Waldammer;Emberiza rustica;A;X;0
446;Vörhenyes sármány;Chestnut Bunting;Rötelammer;Emberiza rutila;A;X;0
447;Kucsmás sármány;Black-headed Bunting;Kappenammer;Emberiza melanocephala;A;OR;2-4
448;Nádi sármány;Common Reed Bunting;Rohrammer;Emberiza schoeniclus;A;FG;10700-121000
449;Hibrid;Hybrid;Hybrid;Hybrid;-;-;0
450;Szökevény;Escapee;Gefangenschaftsflüchtling;Escapee;E;-;0
