id;hu;en;de;sci;kat;stat;population
191;Alka;Razorbill;Tordalk;Alca torda;B;X;0
192;Lunda;Atlantic Puffin;Papageitaucher;Fratercula arctica;B;X;0
193;Északi búvár;Red-throated Diver;Sterntaucher;Gavia stellata;A;G;0
194;Sarki búvár;Black-throated Diver;Prachttaucher;Gavia arctica;A;G;0
195;Jeges búvár;Great Northern Diver;Eistaucher;Gavia immer;A;R;0
196;Fehércsőrű búvár;White-billed Diver;Gelbschnabeltaucher;Gavia adamsii;A;X;0
197;Fekete gólya;Black Stork;Schwarzstorch;Ciconia nigra;A;FG;350-400
198;Fehér gólya;White Stork;Weißstorch;Ciconia ciconia;A;FG;4400-5050
199;Afrikai marabu;Marabou Stork;Marabu;Leptoptilos crumenifer;E;X;0
200;Kis kárókatona;Pygmy Cormorant;Zwergscharbe;Microcarbo pygmaeus;A;FG;1100-1233
201;Nagy kárókatona;Great Cormorant;Kormoran;Phalacrocorax carbo;A;FG;2390-2721
202;Batla;Glossy Ibis;Sichler;Plegadis falcinellus;A;OG;0-12
203;Kanalasgém;Eurasian Spoonbill;Löffler;Platalea leucorodia;A;FG;612-1100
204;Afrikai kanalasgém;African Spoonbill;Rotgesichtlöffler;Platalea alba;E;X;0
205;Bölömbika;Eurasian Bittern;Rohrdommel;Botaurus stellaris;A;FG;800-1740
206;Törpegém;Little Bittern;Zwergdommel;Ixobrychus minutus;A;FG;2500-3500
207;Bakcsó;Black-crowned Night Heron;Nachtreiher;Nycticorax nycticorax;A;FG;2243-2576
208;Üstökösgém;Squacco Heron;Rallenreiher;Ardeola ralloides;A;FG;244-286
209;Kínai üstökösgém;Chinese Pond Heron;Bacchusreiher;Ardeola bacchus;A;X;0
210;Pásztorgém;Western Cattle Egret;Kuhreiher;Bubulcus ibis;A;OR;15-30
211;Szürke gém;Grey Heron;Graureiher;Ardea cinerea;A;FG;2970-3343
212;Vörös gém;Purple Heron;Purpurreiher;Ardea purpurea;A;FG;633-802
213;Nagy kócsag;Great Egret;Silberreiher;Ardea alba;A;FG;4173-4666
214;Kis kócsag;Little Egret;Seidenreiher;Egretta garzetta;A;FG;578-768
215;Zátonykócsag;Western Reef Heron;Küstenreiher;Egretta gularis;A;X;0
216;Rózsás gödény;Great White Pelican;Rosapelikan;Pelecanus onocrotalus;A;R;0
217;Vörhenyes gödény;Pink-backed Pelican;Rötelpelikan;Pelecanus rufescens;E;X;0
218;Borzas gödény;Dalmatian Pelican;Krauskopfpelikan;Pelecanus crispus;A;R;0
219;Gödény faj;Pelican sp.;Pelikan sp.;Pelecanus sp.;;R;
220;Halászsas;Western Osprey;Fischadler;Pandion haliaetus;A;G;0
221;Kuhi;Black-winged Kite;Gleitaar;Elanus caeruleus;A;X;0
222;Dögkeselyű;Egyptian Vulture;Schmutzgeier;Neophron percnopterus;A;X;0
223;Darázsölyv;European Honey Buzzard;Wespenbussard;Pernis apivorus;A;FG;800-1000
224;Fakó keselyű;Griffon Vulture;Gänsegeier;Gyps fulvus;A;R;0
225;Barátkeselyű;Cinereous Vulture;Mönchsgeier;Aegypius monachus;A;X;0
226;Kígyászölyv;Short-toed Snake Eagle;Schlangenadler;Circaetus gallicus;A;FG;41-45
227;Békászó sas;Lesser Spotted Eagle;Schreiadler;Clanga pomarina;A;FG;29-36
228;Fekete sas;Greater Spotted Eagle;Schelladler;Clanga clanga;A;R;0
229;Törpesas;Booted Eagle;Zwergadler;Hieraaetus pennatus;A;OR;0-1
230;Pusztai sas;Steppe Eagle;Steppenadler;Aquila nipalensis;A;R;0
231;Parlagi sas;Eastern Imperial Eagle;Kaiseradler;Aquila heliaca;A;FG;155-222
232;Szirti sas;Golden Eagle;Steinadler;Aquila chrysaetos;A;OG;3
233;Héjasas;Bonelli's Eagle;Habichtsadler;Aquila fasciata;B;X;0
234;Kis héja;Levant Sparrowhawk;Kurzfangsperber;Accipiter brevipes;A;OR;0
235;Karvaly;Eurasian Sparrowhawk;Sperber;Accipiter nisus;A;FG;3000-4800
236;Héja;Northern Goshawk;Habicht;Accipiter gentilis;A;FG;1200-1600
237;Barna rétihéja;Western Marsh Harrier;Rohrweihe;Circus aeruginosus;A;FG;9000
238;Kékes rétihéja;Hen Harrier;Kornweihe;Circus cyaneus;A;G;0
239;Fakó rétihéja;Pallid Harrier;Steppenweihe;Circus macrourus;A;R;0
240;Hamvas rétihéja;Montagu's Harrier;Wiesenweihe;Circus pygargus;A;FG;49-60
241;Vörös kánya;Red Kite;Rotmilan;Milvus milvus;A;OG;9-12
242;Barna kánya;Black Kite;Schwarzmilan;Milvus migrans;A;FG;121-169
243;Rétisas;White-tailed Eagle;Seeadler;Haliaeetus albicilla;A;FG;311-336
244;Gatyás ölyv;Rough-legged Buzzard;Raufußbussard;Buteo lagopus;A;G;0
245;Pusztai ölyv;Long-legged Buzzard;Adlerbussard;Buteo rufinus;A;OG;7-12
246;Egerészölyv;Common Buzzard;Mäusebussard;Buteo buteo;A;FG;18000-24000
247;Vörösfarkú egerészölyv;Steppe Buzzard;Falkenbussard;Buteo buteo vulpinus;A;R;0
248;Gyöngybagoly;Western Barn Owl;Schleiereule;Tyto alba;A;FG;346-860
249;Gatyáskuvik;Boreal Owl;Raufußkauz;Aegolius funereus;A;R;0
250;Kuvik;Little Owl;Steinkauz;Athene noctua;A;FG;3000-4000
251;Karvalybagoly;Northern Hawk-Owl;Sperbereule;Surnia ulula;A;X;0
252;Törpekuvik;Eurasian Pygmy Owl;Sperlingskauz;Glaucidium passerinum;A;R;3-10
253;Füleskuvik;Eurasian Scops Owl;Zwergohreule;Otus scops;A;FG;800-2400
254;Erdei fülesbagoly;Long-eared Owl;Waldohreule;Asio otus;A;FG;6000-8000
255;Réti fülesbagoly;Short-eared Owl;Sumpfohreule;Asio flammeus;A;FG;7-41
256;Hóbagoly;Snowy Owl;Schneeeule;Bubo scandiacus;A;X;0
257;Uhu;Eurasian Eagle-Owl;Uhu;Bubo bubo;A;FG;76-86
258;Macskabagoly;Tawny Owl;Waldkauz;Strix aluco;A;FG;5000-8000
259;Uráli bagoly;Ural Owl;Habichtskauz;Strix uralensis;A;FG;120-280
260;Búbosbanka;Eurasian Hoopoe;Wiedehopf;Upupa epops;A;FG;9200-11500
261;Szalakóta;European Roller;Blauracke;Coracias garrulus;A;FG;1800
262;Jégmadár;Common Kingfisher;Eisvogel;Alcedo atthis;A;FG;1200-2000
263;Zöld gyurgyalag;Blue-cheeked Bee-eater;Blauwangenspint;Merops persicus;A;X;0
264;Gyurgyalag;European Bee-eater;Bienenfresser;Merops apiaster;A;FG;20000-30000
265;Nyaktekercs;Eurasian Wryneck;Wendehals;Jynx torquilla;A;FG;18200-25000
266;Közép fakopáncs;Middle Spotted Woodpecker;Mittelspecht;Dendrocoptes medius;A;FG;16000-22500
267;Kis fakopáncs;Lesser Spotted Woodpecker;Kleinspecht;Dryobates minor;A;FG;12000-29000
268;Balkáni fakopáncs;Syrian Woodpecker;Blutspecht;Dendrocopos syriacus;A;FG;21000-37000
269;Nagy fakopáncs;Great Spotted Woodpecker;Buntspecht;Dendrocopos major;A;FG;252000-297000
270;Fehérhátú fakopáncs;White-backed Woodpecker;Weißrückenspecht;Dendrocopos leucotos;A;FG;260-760
271;Fekete harkály;Black Woodpecker;Schwarzspecht;Dryocopus martius;A;FG;8800-10300
272;Zöld küllő;European Green Woodpecker;Grünspecht;Picus viridis;A;FG;22000-30000
273;Hamvas küllő;Grey-headed Woodpecker;Grauspecht;Picus canus;A;FG;2000-6000
274;Fehérkarmú vércse;Lesser Kestrel;Rötelfalke;Falco naumanni;A;X;0
275;Vörös vércse;Common Kestrel;Turmfalke;Falco tinnunculus;A;FG;7000-10000
276;Kék vércse;Red-footed Falcon;Rotfußfalke;Falco vespertinus;A;FG;950-1350
277;Amuri vércse;Amur Falcon;Amurfalke;Falco amurensis;A;X;0
278;Eleonóra-sólyom;Eleonora's Falcon;Eleonorenfalke;Falco eleonorae;A;X;0
279;Kis sólyom;Merlin;Merlin;Falco columbarius;A;G;0
280;Kabasólyom;Eurasian Hobby;Baumfalke;Falco subbuteo;A;FG;1600-2500
281;Kerecsensólyom;Saker Falcon;Würgfalke;Falco cherrug;A;FG;145-175
282;Vándorsólyom;Peregrine Falcon;Wanderfalke;Falco peregrinus;A;FG;58-63
283;Tövisszúró gébics;Red-backed Shrike;Neuntöter;Lanius collurio;A;FG;150000-170000
284;Kis őrgébics;Lesser Grey Shrike;Schwarzstirnwürger;Lanius minor;A;FG;3000-4000
285;Nagy őrgébics;Great Grey Shrike;Raubwürger;Lanius excubitor;A;FG;80-125
286;Vörösfejű gébics;Woodchat Shrike;Rotkopfwürger;Lanius senator;A;R;0
287;Sárgarigó;Eurasian Golden Oriole;Pirol;Oriolus oriolus;A;FG;152000-156000
288;Szajkó;Eurasian Jay;Eichelhäher;Garrulus glandarius;A;FG;66000-80000
289;Szarka;Eurasian Magpie;Elster;Pica pica;A;FG;91000-103000
290;Fenyőszajkó;Spotted Nutcracker;Tannenhäher;Nucifraga caryocatactes;A;G;0
291;Havasi varjú;Red-billed Chough;Alpenkrähe;Pyrrhocorax pyrrhocorax;B;X;0
292;Havasi csóka;Alpine Chough;Alpendohle;Pyrrhocorax graculus;A;X;0
293;Csóka;Western Jackdaw;Dohle;Coloeus monedula;A;FG;2800-5500
294;Vetési varjú;Rook;Saatkrähe;Corvus frugilegus;A;FG;31815
295;Kormos varjú;Carrion Crow;Rabenkrähe;Corvus corone;A;OG;20-50
296;Dolmányos varjú;Hooded Crow;Nebelkrähe;Corvus cornix;A;FG;57000-58000
297;Holló;Northern Raven;Kolkrabe;Corvus corax;A;FG;4000-6000
298;Csonttollú;Bohemian Waxwing;Seidenschwanz;Bombycilla garrulus;A;G;0
299;Fenyvescinege;Coal Tit;Tannenmeise;Periparus ater;A;FG;16000-30000
300;Búbos cinege;European Crested Tit;Haubenmeise;Lophophanes cristatus;A;FG;1500-2000
301;Barátcinege;Marsh Tit;Sumpfmeise;Poecile palustris;A;FG;105000-160000
302;Kormosfejű cinege;Willow Tit;Weidenmeise;Poecile montanus;A;FG;1000-1500
303;Kék cinege;Eurasian Blue Tit;Blaumeise;Cyanistes caeruleus;A;FG;207000-219000
304;Lazúrcinege;Azure Tit;Lasurmeise;Cyanistes cyanus;A;X;0
305;Széncinege;Great Tit;Kohlmeise;Parus major;A;FG;1130000-1158000
306;Függőcinege;Eurasian Penduline Tit;Beutelmeise;Remiz pendulinus;A;FG;3000-5000
307;Barkóscinege;Bearded Reedling;Bartmeise;Panurus biarmicus;A;FG;4500-6800
308;Erdei pacsirta;Woodlark;Heidelerche;Lullula arborea;A;FG;8000-15000
309;Mezei pacsirta;Eurasian Skylark;Feldlerche;Alauda arvensis;A;FG;1180000-1266000
310;Búbospacsirta;Crested Lark;Haubenlerche;Galerida cristata;A;FG;47000-58000
311;Havasi fülespacsirta;Horned Lark;Ohrenlerche;Eremophila alpestris;A;R;0
312;Szikipacsirta;Greater Short-toed Lark;Kurzzehenlerche;Calandrella brachydactyla;A;OR;1-3
313;Kalandrapacsirta;Calandra Lark;Kalanderlerche;Melanocorypha calandra;A;R;0
314;Partifecske;Sand Martin;Uferschwalbe;Riparia riparia;A;FG;15000-50000
315;Füsti fecske;Barn Swallow;Rauchschwalbe;Hirundo rustica;A;FG;97000-116000
316;Szirtifecske;Eurasian Crag Martin;Felsenschwalbe;Ptyonoprogne rupestris;A;X;0
317;Molnárfecske;Common House Martin;Mehlschwalbe;Delichon urbicum;A;FG;35000-49000
318;Vörhenyes fecske;Red-rumped Swallow;Rötelschwalbe;Cecropis daurica;A;OR;0-1
319;Berki poszáta;Cetti's Warbler;Seidensänger;Cettia cetti;A;R;0
320;Őszapó;Long-tailed Tit;Schwanzmeise;Aegithalos caudatus;A;FG;162000-216000
321;Sisegő füzike;Wood Warbler;Waldlaubsänger;Phylloscopus sibilatrix;A;FG;54000-58000
322;Bonelli-füzike;Western Bonelli's Warbler;Berglaubsänger;Phylloscopus bonelli;A;X;0
323;Himalájai füzike;Hume's Leaf Warbler;Tienschan-Laubsänger;Phylloscopus humei;A;X;0
324;Vándorfüzike;Yellow-browed Warbler;Gelbbrauen-Laubsänger;Phylloscopus inornatus;A;R;0
325;Királyfüzike;Pallas's Leaf Warbler;Goldhähnchen-Laubsänger;Phylloscopus proregulus;A;R;0
326;Vastagcsőrű füzike;Radde's Warbler;Bartlaubsänger;Phylloscopus schwarzi;A;X;0
327;Barna füzike;Dusky Warbler;Dunkellaubsänger;Phylloscopus fuscatus;A;X;0
328;Fitiszfüzike;Willow Warbler;Fitis;Phylloscopus trochilus;A;FG;15000-20000
329;Csilpcsalpfüzike;Common Chiffchaff;Zilpzalp;Phylloscopus collybita;A;FG;432000-444000
330;Szibériai csilpcsalpfüzike;Siberian Chiffchaff;Sibirischer Zilpzalp;Phylloscopus collybita tristis;A;X;0
331;Nádirigó;Great Reed Warbler;Drosselrohrsänger;Acrocephalus arundinaceus;A;FG;211000-224000
332;Fülemülesitke;Moustached Warbler;Mariskenrohrsänger;Acrocephalus melanopogon;A;FG;2500-3500
333;Csíkosfejű nádiposzáta;Aquatic Warbler;Seggenrohrsänger;Acrocephalus paludicola;A;OR;0
334;Foltos nádiposzáta;Sedge Warbler;Schilfrohrsänger;Acrocephalus schoenobaenus;A;FG;236000-254000
335;Rozsdás nádiposzáta;Paddyfield Warbler;Feldrohrsänger;Acrocephalus agricola;A;R;0
336;Berki nádiposzáta;Blyth's Reed Warbler;Buschrohrsänger;Acrocephalus dumetorum;A;X;0
337;Cserregő nádiposzáta;Eurasian Reed Warbler;Teichrohrsänger;Acrocephalus scirpaceus;A;FG;91000-122000
338;Énekes nádiposzáta;Marsh Warbler;Sumpfrohrsänger;Acrocephalus palustris;A;FG;113000-152000
339;Kis geze;Booted Warbler;Buschspötter;Iduna caligata;A;X;0
340;Halvány geze;Eastern Olivaceous Warbler;Blassspötter;Iduna pallida;A;FG;180-250
341;Déli geze;Melodious Warbler;Orpheusspötter;Hippolais polyglotta;A;X;0
342;Kerti geze;Icterine Warbler;Gelbspötter;Hippolais icterina;A;FG;3000-5000
343;Berki tücsökmadár;River Warbler;Schlagschwirl;Locustella fluviatilis;A;FG;13000-30000
344;Nádi tücsökmadár;Savi's Warbler;Rohrschwirl;Locustella luscinioides;A;FG;51000-56000
345;Réti tücsökmadár;Common Grasshopper Warbler;Feldschwirl;Locustella naevia;A;FG;7800-9200
346;Szuharbújó;Zitting Cisticola;Zistensänger;Cisticola juncidis;A;X;0
347;Barátposzáta;Eurasian Blackcap;Mönchsgrasmücke;Sylvia atricapilla;A;FG;1056000-1104000
348;Kerti poszáta;Garden Warbler;Gartengrasmücke;Sylvia borin;A;FG;300-800
349;Karvalyposzáta;Barred Warbler;Sperbergrasmücke;Curruca nisoria;A;FG;25000-30000
350;Kis poszáta;Lesser Whitethroat;Klappergrasmücke;Curruca curruca;A;FG;53000-123000
351;Kucsmás poszáta;Sardinian Warbler;Samtkopf-Grasmücke;Curruca melanocephala;A;X;0
352;Bajszos poszáta;Eastern Subalpine Warbler;Balkan-Bartgrasmücke;Curruca cantillans;A;X;0
353;Mezei poszáta;Common Whitethroat;Dorngrasmücke;Curruca communis;A;FG;235000-249000
354;Tüzesfejű királyka;Common Firecrest;Sommergoldhähnchen;Regulus ignicapilla;A;FG;400-500
